iter	Accuracy	Logloss
426	0.9549333333	0.1164762429
427	0.954962963	0.1164265145
428	0.9550222222	0.1163603168
429	0.9549925926	0.1163008074
430	0.9550518519	0.1162287546
431	0.9551111111	0.1161088745
432	0.9551703704	0.1160254179
433	0.9551407407	0.1159368778
434	0.9552	0.1158252631
435	0.9552	0.1157647969
436	0.9552296296	0.1156808937
437	0.9552296296	0.1155994324
438	0.955437037	0.1154196426
439	0.9554666667	0.1153450222
440	0.9554666667	0.1152543564
441	0.9554074074	0.1151711962
442	0.9555555556	0.1151003309
443	0.9556740741	0.1150130895
444	0.955762963	0.1149808181
445	0.9557333333	0.1149353521
446	0.9559703704	0.1147842751
447	0.9560296296	0.114709213
448	0.9559703704	0.1146313108
449	0.956	0.1145728825
450	0.9561185185	0.1144419512
451	0.9562962963	0.114348177
452	0.9561481481	0.1142563728
453	0.9562666667	0.1142051421
454	0.9562962963	0.1140998086
455	0.956237037	0.1140358757
456	0.9561777778	0.1139186242
457	0.9563555556	0.1138164358
458	0.9562962963	0.1137564557
459	0.9562666667	0.1136397194
460	0.9563555556	0.1135827246
461	0.9563851852	0.1135086825
462	0.9563555556	0.1134342992
463	0.9563851852	0.1133790832
464	0.9563555556	0.1132865618
465	0.956562963	0.1131792812
466	0.9566814815	0.1130431795
467	0.9566222222	0.1129857455
468	0.9567407407	0.1128981554
469	0.9568296296	0.1128140286
470	0.9568296296	0.1127478542
471	0.9568888889	0.1126708232
472	0.9568296296	0.1126236257
473	0.9570074074	0.1125189232
474	0.957037037	0.1124020161
475	0.9569777778	0.1122910538
476	0.9569185185	0.1122667235
477	0.9570962963	0.1121199554
478	0.9573333333	0.1120279015
479	0.9575703704	0.111907488
480	0.9575703704	0.1117868433
481	0.9575111111	0.1117401844
482	0.9574222222	0.1116487514
483	0.9574518519	0.1115834309
484	0.9575111111	0.1115128126
485	0.9575111111	0.1114599568
486	0.9575111111	0.1114098356
487	0.9574814815	0.1113630247
488	0.9574814815	0.1112858503
489	0.9575407407	0.1111956771
490	0.9576296296	0.1111364536
491	0.9576592593	0.1111152108
492	0.9577185185	0.1110693222
493	0.9577777778	0.1110126498
494	0.9577777778	0.1109458164
495	0.9578074074	0.1108937327
496	0.957837037	0.1108079807
497	0.957837037	0.1106958035
498	0.9579259259	0.110630125
499	0.9579259259	0.1106062913
500	0.9579555556	0.1105919856
501	0.9581333333	0.1104822237
502	0.9582222222	0.1104202961
503	0.9582222222	0.1102884815
504	0.9582222222	0.1102641001
505	0.9583111111	0.1101995964
506	0.9583407407	0.1101150057
507	0.9583407407	0.1100333179
508	0.9584296296	0.1099711624
509	0.9586074074	0.1098752308
510	0.9586074074	0.1098698878
511	0.958637037	0.1098049111
512	0.9586074074	0.1097494234
513	0.9585777778	0.109718668
514	0.9587555556	0.1096571059
515	0.9588148148	0.1095536354
516	0.9588444444	0.1094817141
517	0.9588740741	0.1093955072
518	0.9587851852	0.1093826291
519	0.9587851852	0.109266265
520	0.9587555556	0.1092320596
521	0.958962963	0.1091430621
522	0.9589037037	0.1090307052
523	0.9589037037	0.10893275
524	0.9589037037	0.1088632142
525	0.9588444444	0.1088142677
526	0.9589333333	0.1087216799
527	0.9589333333	0.1087033205
528	0.9589333333	0.1086754722
529	0.9589037037	0.1086251045
530	0.9589925926	0.1085704486
531	0.9590222222	0.1085144287
532	0.9590222222	0.1084322287
533	0.9589925926	0.1083193638
534	0.9589925926	0.1082849391
535	0.958962963	0.1081924626
536	0.9590222222	0.1081564819
537	0.9590518519	0.1080767881
538	0.9590518519	0.108029302
539	0.9592	0.1079193819
540	0.9592296296	0.1078346954
541	0.9592296296	0.1078029018
542	0.9594074074	0.1076723582
543	0.9593185185	0.1076019625
544	0.959437037	0.1075253464
545	0.959437037	0.1074563212
546	0.9594666667	0.1073752987
547	0.9595555556	0.1073017859
548	0.9594962963	0.1072196214
549	0.9596148148	0.1071878584
550	0.959762963	0.1070777607
551	0.9598222222	0.107029951
552	0.9598222222	0.1069769087
553	0.9598814815	0.1069188866
554	0.9600296296	0.1068496364
555	0.9600592593	0.1067403683
556	0.9600888889	0.1066432888
557	0.9601481481	0.1065849202
558	0.960237037	0.1064879939
559	0.9603851852	0.1064072071
560	0.9602666667	0.1063774288
561	0.9603555556	0.1062939032
562	0.9604444444	0.106221767
563	0.9604148148	0.1061644422
564	0.9604444444	0.1060676253
565	0.9603259259	0.1059739826
566	0.9604444444	0.1059090923
567	0.9604444444	0.1058297816
568	0.9604740741	0.1058038893
569	0.9604148148	0.1057750316
570	0.9604740741	0.1057051296
571	0.9606222222	0.1056783255
572	0.9606222222	0.1056369565
573	0.9607703704	0.1055659636
574	0.9607407407	0.1055607087
575	0.9607703704	0.1054696545
576	0.9608	0.105353536
577	0.9609185185	0.1052382271
578	0.961037037	0.1051299301
579	0.9610666667	0.1049800451
580	0.961037037	0.1049134735
581	0.9613037037	0.1047976648
582	0.9613037037	0.1047095649
583	0.9613333333	0.1046388887
584	0.961362963	0.104590524
585	0.9614222222	0.1044977135
586	0.9614222222	0.104337062
587	0.9614222222	0.104272194
588	0.9614222222	0.1042589689
589	0.9614222222	0.1042508512
590	0.9614814815	0.1041959339
591	0.9615703704	0.1041416797
592	0.9616296296	0.1040779754
593	0.9616888889	0.1040589339
594	0.9616296296	0.1039630406
595	0.9615703704	0.1038728473
596	0.9616296296	0.1038048582
597	0.9616296296	0.1037606185
598	0.9617185185	0.1036725748
599	0.9617481481	0.1035723967
600	0.9616592593	0.1035157115
601	0.9616888889	0.1034697176
602	0.9618962963	0.1033873227
603	0.9619555556	0.1033418942
604	0.9618666667	0.1032202586
605	0.9619851852	0.1031750325
606	0.9620148148	0.1031012526
607	0.9620444444	0.103053625
608	0.962162963	0.1030069766
609	0.9621037037	0.1029126027
610	0.9622814815	0.1028459952
611	0.9622518519	0.1027317777
612	0.9622222222	0.1026869315
613	0.9623111111	0.1025835075
614	0.9623703704	0.1024995228
615	0.9624888889	0.102373925
616	0.9624888889	0.1023453318
617	0.9626074074	0.10228414
618	0.9625777778	0.102179155
619	0.9625777778	0.102117161
620	0.9627259259	0.1020491238
621	0.9627555556	0.1019931321
622	0.9628444444	0.1019573532
623	0.9628148148	0.1018695609
624	0.9628148148	0.1018474201
625	0.9628148148	0.1017524737
626	0.9629333333	0.1016962945
627	0.9628740741	0.1016284549
628	0.9630222222	0.1015752984
629	0.9629925926	0.1014867658
630	0.9631111111	0.101445867
631	0.962962963	0.1013535097
632	0.9630518519	0.1013174498
633	0.9631111111	0.1012186902
634	0.9631703704	0.1011297759
635	0.9631703704	0.1010825749
636	0.9632	0.1010067067
637	0.9632592593	0.1009368401
638	0.9632592593	0.1008911918
639	0.9633185185	0.1008373295
640	0.9634074074	0.1007121164
641	0.963437037	0.100643468
642	0.963437037	0.1005718901
643	0.963437037	0.1005622654
644	0.9637037037	0.100425743
645	0.963762963	0.1003444818
646	0.9637333333	0.1002545564
647	0.9638518519	0.1001566101
648	0.9638518519	0.1000765559
649	0.9638222222	0.1000154489
650	0.9637037037	0.09988916653
651	0.9637925926	0.09979343431
652	0.9637333333	0.09975096851
653	0.9638518519	0.09967757496
654	0.964	0.09962707924
655	0.9639407407	0.09956744446
656	0.964	0.09948242426
657	0.9641481481	0.09942855953
658	0.9642962963	0.0993672874
659	0.964237037	0.09924460241
660	0.9642962963	0.09920122136
661	0.9643555556	0.09913295191
662	0.9644148148	0.09904499314
663	0.9644148148	0.09903636634
664	0.9644148148	0.09899332642
665	0.9643851852	0.09894175345
666	0.9644444444	0.09888803148
667	0.9645037037	0.0987934216
668	0.9645333333	0.09872172102
669	0.964562963	0.09868148938
670	0.964562963	0.09866693162
671	0.9645925926	0.09861969756
672	0.9645925926	0.09856552542
673	0.9646518519	0.09850902619
674	0.9645925926	0.09841455508
675	0.9648592593	0.09834330943
676	0.9647407407	0.09825127306
677	0.9647703704	0.09821613553
678	0.9647703704	0.09815128262
679	0.9648888889	0.0981199346
680	0.9648	0.09802375703
681	0.9648888889	0.09790507393
682	0.9649481481	0.09783342606
683	0.9650074074	0.09774854725
684	0.965037037	0.09769032177
685	0.9650962963	0.0976392995
686	0.9651851852	0.09757770556
687	0.9652148148	0.09753587034
688	0.9652444444	0.0975257971
689	0.9653037037	0.09746698613
690	0.9652148148	0.09736454385
691	0.9652444444	0.09732832401
692	0.9651851852	0.09726141478
693	0.9652740741	0.09716220313
694	0.9653333333	0.09714679754
695	0.9653037037	0.09712330427
696	0.9653037037	0.09705703881
697	0.9653925926	0.0969813097
698	0.9654518519	0.09692043603
699	0.9654814815	0.09687222911
700	0.9655407407	0.0968445184
701	0.9655703704	0.09678670224
702	0.9656296296	0.09672263245
703	0.9656592593	0.0966608421
704	0.9658074074	0.09653418576
705	0.9658666667	0.0963834813
706	0.9658666667	0.09634066586
707	0.9660148148	0.09629350706
708	0.9660444444	0.09625209731
709	0.9659851852	0.0961760167
710	0.9660740741	0.09614159256
711	0.9659851852	0.09607490331
